hotel_id,name,city,neighborhood,distance_km,price_per_night,rating,review_count,amenities,available_rooms
H1,Wyndham Rio de Janeiro Downtown Palace,Rio de Janeiro,Downtown,8.9,228,4.4,8896,Bar|Garden|Pet Friendly|Kids Club|Yoga Studio|Golf Course|Beach Access|Parking|Hot Tub|Airport Shuttle|Library,27
H2,DoubleTree City Hotel Minneapolis,Minneapolis,University Area,3.2,446,4.5,7884,Hot Tub|Gym|Balcony|Garden|WiFi|Kids Club|Parking|Airport Shuttle,68
H3,Jumeirah Mauritius University Area Airport Hotel,Mauritius,University Area,16.4,36,2.4,1895,24hr Front Desk|Airport Shuttle|Library,22
H4,Hyatt Suites Nadi,Nadi,Airport Area,28.7,74,3.1,302,WiFi|Sauna|EV Charging|Business Center,66
H5,InterContinental Rio de Janeiro Old Town Collection,Rio de Janeiro,Old Town,9.2,491,3.7,8001,Business Center|Concierge|Minibar|Spa|Non-Smoking|Wheelchair Accessible,18
H6,DoubleTree Brisbane Business District Plaza,Brisbane,Business District,7.5,494,4.1,4032,Kitchen|Room Service|Yoga Studio|Bar|EV Charging|Gym|Cinema Room|Concierge|WiFi|Beach Access|Pool|Laundry,27
H7,Pan Pacific City Hotel Nashville,Nashville,Downtown,13.7,747,4.1,14910,Yoga Studio|Hot Tub|24hr Front Desk|Room Service|Concierge|Safe|Tennis Court|Non-Smoking,39
H8,Grand Hyatt Beach Resort Doha,Doha,Suburbs,23.7,125,3.6,706,Minibar|Kitchen|Restaurant|Library|Concierge|EV Charging|Safe,41
H9,Paramount Suites Dublin,Dublin,University Area,9.2,619,5.0,14038,Beach Access|Sauna|24hr Front Desk|Parking|Pet Friendly|Laundry|Non-Smoking|Airport Shuttle|WiFi|EV Charging,45
H10,Ramada Airport Hotel Madrid,Madrid,Waterfront,6.3,436,4.0,3988,Coworking Space|Hot Tub|WiFi|Spa|Kitchen|Balcony|Parking|Garden|Wheelchair Accessible,39
H11,Rotana Beach Resort Riyadh,Riyadh,Business District,32.7,156,3.6,4400,Beach Access|Pet Friendly|Pool|Spa|Hot Tub|Concierge|Gym|Cinema Room,4
H12,Okura Kuala Lumpur City Center Lodge,Kuala Lumpur,City Center,19.6,802,4.6,3678,Hot Tub|Cinema Room|Airport Shuttle|Business Center|Rooftop Lounge|Laundry|Restaurant|Safe|Wheelchair Accessible,49
H13,DoubleTree Lagos Commercial Zone Residence,Lagos,Commercial Zone,9.8,458,4.0,8050,Non-Smoking|Laundry|Restaurant|Balcony|Room Service|Rooftop Lounge|Kitchen|WiFi|Spa|Library,63
H14,Marriott Palace Cairo,Cairo,Suburbs,9.9,60,2.7,349,Spa|Hot Tub|Gym,6
H15,Peninsula Grand Dhaka,Dhaka,Commercial Zone,5.8,456,4.5,3961,Pet Friendly|Room Service|Garden|Bar|Business Center|Wheelchair Accessible|EV Charging|Airport Shuttle|Gym|Balcony|Parking|Sauna,22
H16,Paramount Resort Tel Aviv,Tel Aviv,Suburbs,4.2,85,3.2,758,Library|Sauna|Laundry|Coworking Space,29
H17,Courtyard by Marriott Residence Johannesburg,Johannesburg,Residential Area,31.3,646,4.2,3442,Concierge|Garden|WiFi|Room Service|Pet Friendly|EV Charging|Hot Tub|Spa|Safe,30
H18,Dorchester Collection City Hotel Milan,Milan,University Area,30.7,92,4.0,3106,Tennis Court|Gym|Hot Tub|WiFi|Concierge|Bar,16
H19,Taj Beach Resort Colombo,Colombo,City Center,10.4,137,3.6,2886,Tennis Court|EV Charging|Cinema Room|Hot Tub|Minibar|Pool|Pet Friendly|Wheelchair Accessible|Business Center|Golf Course,29
H20,Hyatt Beach Resort Zurich,Zurich,Business District,10.3,181,3.9,1916,Cinema Room|Minibar|Spa|Kids Club|Breakfast Included,33
H21,Pullman Barcelona Sarria Plaza,Barcelona,Sarria,33.0,334,4.9,3444,Spa|Kitchen|Airport Shuttle|Beach Access|Sauna|Kids Club|Restaurant|WiFi|Tennis Court|Pool|Library|Pet Friendly,57
H22,Corinthia Cairo Business District Inn,Cairo,Business District,4.9,293,4.4,3119,Garden|Kids Club|Parking|Library|Golf Course|Cinema Room|Hot Tub|Bar|Restaurant|Breakfast Included|Yoga Studio,31
H23,Hampton Inn Collection Rome,Rome,Prati,28.1,1070,4.5,4345,Cinema Room|Rooftop Lounge|Minibar|Pet Friendly|Kitchen|Balcony|Gym|Room Service|Business Center|Laundry|Beach Access,42
H24,Pullman Beach Resort Santiago,Santiago,Old Town,33.0,261,3.7,1018,Beach Access|Airport Shuttle|Balcony|24hr Front Desk|Wheelchair Accessible|EV Charging|Business Center|WiFi|Cinema Room|Kitchen|Concierge,25
H25,Ritz-Carlton Jeddah Suburbs Suites,Jeddah,Suburbs,5.2,116,3.3,506,Coworking Space|Rooftop Lounge|Concierge|Bar,48
H26,Accor Helsinki Suburbs Airport Hotel,Helsinki,Suburbs,19.0,111,3.5,3671,EV Charging|Kitchen|Restaurant|Tennis Court|WiFi|Kids Club|Spa,55
H27,QT Hotels Plaza Mauritius,Mauritius,Suburbs,13.3,430,3.8,5850,Room Service|Balcony|Breakfast Included|Gym|Wheelchair Accessible|Pool|Cinema Room|Business Center|Laundry|Golf Course|Spa|Minibar,39
H28,Waldorf Astoria Inn Busan,Busan,Residential Area,15.7,53,2.1,795,Pool|Beach Access,63
H29,Prince Hotel Beach Resort Orlando,Orlando,University Area,11.4,819,4.7,14779,Beach Access|Hot Tub|Kids Club|Gym|Cinema Room|Business Center|Rooftop Lounge|Yoga Studio|Breakfast Included,43
H30,Hyatt Hotel London,London,Kensington,22.3,396,4.4,11362,Pool|Room Service|Tennis Court|Parking|Non-Smoking|EV Charging|Garden|Spa,1
H31,Best Western Warsaw Waterfront City Hotel,Warsaw,Waterfront,27.2,95,3.9,907,Airport Shuttle|Minibar|Sauna|Tennis Court|Spa|Gym,34
H32,Melia Lodge Riyadh,Riyadh,Commercial Zone,25.5,472,3.7,1344,Non-Smoking|Hot Tub|Business Center|24hr Front Desk|Concierge|Golf Course|Breakfast Included|Parking,64
H33,Conrad Guangzhou University Area Grand,Guangzhou,University Area,6.7,98,3.4,1104,Rooftop Lounge|Coworking Space|Restaurant|Room Service|Balcony|Kids Club|Hot Tub|Garden,73
H34,Lotte Palace Beijing,Beijing,Suburbs,0.7,78,2.2,19,Bar|Breakfast Included|Golf Course,24
